data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2020-12-01 01:33:29.694;222;EMEF PROF ANA IRIS DO AMARAL                            ;0;0;0;0;44;44;221;143;364;0;0;0;0;408
2020-12-01 01:33:29.695;223;EMEF JOSE MARIANO BECK                                  ;0;0;0;88;0;88;546;46;592;109;0;0;0;789
2020-12-01 01:33:29.697;224;EMEF VER CARLOS PESSOA DE BRUM                          ;0;0;0;45;0;45;722;289;1011;193;0;0;0;1249
2020-12-01 01:33:29.699;225;EMEEF PROF ELYSEU PAGLIOLI                              ;5;0;5;5;0;5;104;0;104;0;0;0;0;114
2020-12-01 01:33:29.700;226;EMEF GABRIEL OBINO                                      ;0;0;0;62;0;62;422;78;500;97;0;0;0;659
2020-12-01 01:33:29.701;227;EMEF VER ANTÔNIO GIÚDICE                                ;0;0;0;0;0;0;766;67;833;193;0;0;0;1026
2020-12-01 01:33:29.702;228;EMEF LAURO RODRIGUES                                    ;0;0;0;90;0;90;442;92;534;0;0;0;0;624
2020-12-01 01:33:29.703;229;EMEF LIDOVINO FANTON                                    ;0;0;0;117;0;117;624;193;817;127;0;0;0;1061
2020-12-01 01:33:29.704;230;EMEEF PROF LYGIA MORRONE AVERBUCK                       ;6;0;6;4;0;4;111;0;111;0;0;0;0;121
2020-12-01 01:33:29.705;231;EMEF DEP MARCÍRIO GOULART LOUREIRO                      ;0;0;0;0;0;0;605;99;704;215;0;0;0;919
2020-12-01 01:33:29.707;232;EMEF DEP VICTOR ISSLER                                  ;0;0;0;0;0;0;896;48;944;272;0;0;0;1216
2020-12-01 01:33:29.708;233;EMEEF PROF LUIZ FRANCISCO LUCENA BORGES                 ;2;0;2;6;0;6;67;0;67;0;0;0;0;75
2020-12-01 01:33:29.709;234;EMEF JEAN PIAGET                                        ;0;0;0;68;0;68;525;73;598;80;0;0;0;746
2020-12-01 01:33:29.710;235;EMEF PROF ANÍSIO TEIXEIRA                               ;0;0;0;0;0;0;809;46;855;141;0;0;0;996
2020-12-01 01:33:29.711;236;EMEEF TRISTÃO SUCUPIRA VIANNA                           ;7;0;7;5;0;5;117;0;117;0;0;0;0;129
2020-12-01 01:33:29.713;237;EMEF SÃO PEDRO                                          ;0;0;0;50;0;50;946;97;1043;119;0;0;0;1212
2020-12-01 01:33:29.714;238;EMEF SAINT HILAIRE                                      ;0;0;0;39;0;39;641;222;863;194;0;0;0;1096
2020-12-01 01:33:29.715;239;EMEF WENCESLAU FONTOURA                                 ;0;0;0;98;0;98;466;254;720;0;0;0;0;818
2020-12-01 01:33:29.716;240;EMEF CAMPOS DO CRISTAL                                  ;0;0;0;70;0;70;404;25;429;0;0;0;0;499
2020-12-01 01:33:29.718;241;EMEF MIGRANTES                                          ;0;0;0;20;0;20;131;0;131;0;0;0;0;151
2020-12-01 01:33:29.719;242;EMEF VILA MONTE CRISTO                                  ;0;0;0;69;0;69;841;83;924;222;0;0;0;1215
2020-12-01 01:33:29.720;243;EMEF MORRO DA CRUZ                                      ;0;0;0;167;0;167;838;57;895;0;0;0;0;1062
2020-12-01 01:33:29.721;244;EMEF NEUSA GOULART BRIZOLA                              ;0;0;0;0;51;51;214;131;345;0;0;0;0;396
2020-12-01 01:33:31.138;245;EMEF PORTO ALEGRE                                       ;0;0;0;0;0;0;0;0;0;126;0;0;0;126
2020-12-01 01:33:31.138;246;EMEF CHICO MENDES                                       ;0;0;0;0;0;0;921;99;1020;134;0;0;0;1154
2020-12-01 01:33:31.138;247;EMEF MARIO QUINTANA                                     ;0;0;0;24;0;24;373;240;613;0;0;0;0;637
2020-12-01 01:33:31.138;248;EMEF CHAPÉU DO SOL                                      ;0;0;0;92;0;92;626;147;773;119;0;0;0;984
2020-12-01 01:33:31.138;249;EMEF TIMBAÚVA                                           ;0;0;0;43;0;43;480;177;657;0;0;0;0;700
2020-12-01 01:33:31.138;250;EMEF NOSSA SENHORA DO CARMO                             ;0;0;0;49;0;49;533;217;750;128;0;0;0;927
2020-12-01 01:33:31.138;251;EMEF DE SURDOS BILINGUE SALOMÃO WATNICK                 ;1;0;1;5;0;5;19;0;19;24;0;0;0;49
2020-12-01 01:33:31.138;252;EMEF RINCÃO                                             ;0;0;0;0;0;0;422;48;470;0;0;0;0;470
2020-12-01 01:33:31.138;253;EMEF MORADAS DA HÍPICA                                  ;0;0;0;123;0;123;890;74;964;0;0;0;0;1087
2020-12-01 01:33:31.138;254;EMEF PORTO NOVO                                         ;0;0;0;0;98;98;326;148;474;0;0;0;0;572
2020-12-01 01:33:31.138;301;EMEM EMÍLIO MEYER                                       ;0;0;0;0;118;118;245;0;245;0;0;0;0;363
2020-12-01 01:33:31.138;401;CMET PAULO FREIRE                                       ;0;0;0;0;0;0;0;0;0;982;0;0;0;982
2020-12-01 01:33:04.270;5001;5001 IEI MÃEZINHA DO CÉU                                ;0;34;34;0;22;22;0;0;0;0;0;0;0;56
2020-12-01 01:33:04.277;5002;5002 IEI JOÃO PAULO II                                  ;0;30;30;0;74;74;0;0;0;0;0;0;0;104
2020-12-01 01:33:04.278;5003;5003 EEI ESTRELINHA DO CÉU                              ;0;64;64;0;67;67;0;0;0;0;0;0;0;131
2020-12-01 01:33:04.279;5004;5004 EEI ESTRELINHA DO AMANHÃ                           ;0;51;51;0;41;41;0;0;0;0;0;0;0;92
2020-12-01 01:33:04.280;5005;5005 IEI VILA UNIÃO                                     ;0;56;56;0;27;27;0;0;0;0;0;0;0;83
2020-12-01 01:33:04.281;5006;5006 EEI TRENZINHO DA ALEGRIA                           ;0;26;26;0;25;25;0;0;0;0;0;0;0;51
2020-12-01 01:33:04.283;5007;5007 IEI EUGÊNIA CONTE                                  ;0;68;68;0;92;92;0;0;0;0;0;0;0;160
2020-12-01 01:33:04.284;5008;5008 EEI  JOANA D'ARC                                   ;0;35;35;0;29;29;0;0;0;0;0;0;0;64
2020-12-01 01:33:04.285;5009;5009 IEI SANTA CATARINA                                 ;0;52;52;0;35;35;0;0;0;0;0;0;0;87
2020-12-01 01:33:04.286;5010;5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO            ;0;86;86;0;95;95;0;0;0;0;0;0;0;181
2020-12-01 01:33:04.287;5012;5012 EEI JESUS O BOM PASTOR                             ;0;56;56;0;45;45;0;0;0;0;0;0;0;101
2020-12-01 01:33:04.288;5013;5013 IEI SANTA LUIZA                                    ;0;86;86;0;106;106;0;0;0;0;0;0;0;192
2020-12-01 01:33:04.289;5016;5016 IEI OSICOM I                                       ;0;58;58;0;131;131;0;0;0;0;0;0;0;189
2020-12-01 01:33:04.290;5017;5017 EEI NEGRINHO DO PASTOREIO                          ;0;75;75;0;49;49;0;0;0;0;0;0;0;124
2020-12-01 01:33:04.291;5018;5018 IEI ESPERANÇA CORDEIRO                             ;0;33;33;0;50;50;0;0;0;0;0;0;0;83
2020-12-01 01:33:04.292;5019;5019 IEI VOVÔ CAZEMIRO - CM CRUZEIRO                    ;0;105;105;0;96;96;0;0;0;0;0;0;0;201
2020-12-01 01:33:04.294;5020;5020 EEI MADRE TERESA                                   ;0;40;40;0;136;136;0;0;0;0;0;0;0;176
2020-12-01 01:33:04.295;5021;5021 EEI GALPÃOZINHO                                    ;0;64;64;0;49;49;0;0;0;0;0;0;0;113
2020-12-01 01:33:04.297;5023;5023 EEI VO ANA                                         ;0;57;57;0;42;42;0;0;0;0;0;0;0;99
2020-12-01 01:33:04.298;5024;5024 IEI LAR DA CRIANÇA MENINO JESUS DE PRAGA           ;0;32;32;0;45;45;0;0;0;0;0;0;0;77
2020-12-01 01:33:04.299;5026;5026 IEI CRIANÇA ESPERANÇA                              ;0;54;54;0;41;41;0;0;0;0;0;0;0;95
2020-12-01 01:33:04.300;5027;5027 IEI GIRASSOL                                       ;0;40;40;0;43;43;0;0;0;0;0;0;0;83
2020-12-01 01:33:04.301;5028;5028 EEI SÃO VICENTE DE PAULO                           ;0;32;32;0;48;48;0;0;0;0;0;0;0;80
2020-12-01 01:33:04.302;5029;5029 EEI CANTINHO DOS PIAS                              ;0;31;31;0;64;64;0;0;0;0;0;0;0;95
2020-12-01 01:33:04.303;5030;5030 EEI TRÊS CORAÇÕES                                  ;0;53;53;0;49;49;0;0;0;0;0;0;0;102
2020-12-01 01:33:04.818;5031;5031 IEI TIA ROSA                                       ;0;54;54;0;32;32;0;0;0;0;0;0;0;86
2020-12-01 01:33:04.819;5032;5032 IEI JERUSALÉM   BEITH SHALOM                       ;0;51;51;0;43;43;0;0;0;0;0;0;0;94
2020-12-01 01:33:04.820;5033;5033 IEI ALAN MARIA TEREZA                              ;0;44;44;0;33;33;0;0;0;0;0;0;0;77
2020-12-01 01:33:04.821;5034;5034 IEI ALAN BOM JESUS                                 ;0;58;58;0;51;51;0;0;0;0;0;0;0;109
2020-12-01 01:33:04.822;5035;5035 EEI NOSSA SENHORA APARECIDA VILA PINTO             ;0;39;39;0;50;50;0;0;0;0;0;0;0;89
2020-12-01 01:33:04.823;5036;5036 EEI MUNDO CRIANÇA                                  ;0;50;50;0;50;50;0;0;0;0;0;0;0;100
2020-12-01 01:33:04.825;5037;5037 IEI AELCA                                          ;0;66;66;0;43;43;0;0;0;0;0;0;0;109
2020-12-01 01:33:04.826;5038;5038 IEI NOSSA SENHORA DE FÁTIMA -BOM JESUS             ;0;56;56;0;56;56;0;0;0;0;0;0;0;112
2020-12-01 01:33:04.827;5040;5040 IEI SAGRADA FAMÍLIA                                ;0;35;35;0;32;32;0;0;0;0;0;0;0;67
2020-12-01 01:33:04.828;5041;5041 EEI MENSAGEIROS DA LUZ                             ;0;28;28;0;46;46;0;0;0;0;0;0;0;74
2020-12-01 01:33:04.829;5042;5042 IEI PIU PIU                                        ;0;32;32;0;22;22;0;0;0;0;0;0;0;54
2020-12-01 01:33:04.830;5043;5043 IEI LUPICINIO RODRIGUES                            ;0;48;48;0;40;40;0;0;0;0;0;0;0;88
2020-12-01 01:33:04.831;5044;5044 EEI CASA DO PEQUENINO                              ;0;62;62;0;39;39;0;0;0;0;0;0;0;101
